startTime,endTime,segmentName
0.000000,6.765562,"A"
6.765562,13.531124,"A"
13.531124,20.941025,"B"
20.941025,26.740079,"C"
26.740079,33.827810,"B"
33.827810,39.949033,"C"
40.593372,46.714595,"D"
47.358934,54.124496,"D"
54.124496,61.373313,"E"
61.373313,67.655620,"E"
67.816705,75.065522,"F"
75.065522,81.508914,"G"
81.508914,88.274476,"F"
88.435561,94.556784,"G"
95.040038,101.322346,"D"
101.805600,109.054417,"D"
109.054417,115.497809,"A"
116.303233,122.585541,"A"
122.585541,129.190018,"B"
129.351103,136.277749,"C"
136.277749,142.237887,"B"
142.237887,148.198025,"C"
149.486704,156.735520,"D"
156.896605,164.306506,"D"
164.306506,169.461220,"I"
169.461220,173.810510,"I"
174.132680,179.609563,"I"
179.609563,185.086447,"I"
185.730786,189.596822,"J"
